Date,Open,High,Low,Close,Volume%,Volume,Weighted_bitcoin_price,Address,generatedCoin,Mining_Difficulty,Weighted_litecoin_price,Volume_litecoin,Weighted_gold_price,Oil_price,usd/euro,Num_Wiki_view,Num_tweets,3d MA,9d MA,15d MA,Lable
10/08/2016,587.65,599.98,586.37,592.1,-0.28,173967.0679,591.52,531356,1888,2.02E+11,3.75,441698.6667,1344.5,47.62,1.1176,9015,30224,590.32,589.59,604.73,592.1
11/08/2016,592.12,597.54,589.12,589.12,-0.06,125873.1714,591.98,531345,1875,2.02E+11,3.71,639954.1779,1343.5,44.98,1.1137,8400,23497,589.67,587.42,600.38,589.12
12/08/2016,588.8,589.91,583.81,587.56,-0.37,117813.8617,587.52,491194,1863,2.02E+11,3.72,544470.4301,1341.04,50.84,1.1162,7756,25008,589.59,581.21,595.88,587.56
13/08/2016,587.36,589.77,584.98,585.59,0.42,74223.06277,586.92,455323,2038,2.02E+11,3.71,666628.0323,1341.04,50.84,1.1162,6851,21026,587.42,574.43,591.12,585.59
14/08/2016,585.59,585.67,564.78,570.47,-0.05,105528.8487,576.63,455991,2038,2.02E+11,3.68,721475.5435,1336.2,45.74,1.1184,6860,24566,581.21,571.72,585.48,570.47
15/08/2016,570.49,573.58,563.24,567.24,0.01,100700.4432,568.64,500686,1825,2.17E+11,3.62,915480.663,1342.45,45.74,1.1184,7890,25180,574.43,572.63,581.65,567.24
16/08/2016,567.24,581.74,566.72,577.44,-0.07,101877.2349,573.29,537436,1688,2.17E+11,3.62,635961.326,1345.89,46.58,1.1279,8422,23549,571.72,574.99,579.73,577.44
17/08/2016,577.76,580.89,571.43,573.22,0.1,94548.64367,575.82,523675,1538,2.17E+11,3.62,505558.011,1345.76,46.79,1.1289,8694,22643,572.63,574.39,581.45,573.22
18/08/2016,573.71,577.79,573.43,574.32,-0.16,104202.4321,574.81,528979,1925,2.17E+11,3.61,455792.2438,1351.68,48.22,1.1354,10122,20849,574.99,577.22,581.98,574.32
19/08/2016,574.34,578.24,574.18,575.63,-0.11,87963.16887,575.6,508749,1925,2.17E+11,3.61,397110.8033,1346.26,48.52,1.1325,8392,18562,574.39,579.55,581.80,575.63
20/08/2016,576.08,582.82,575.46,581.7,-0.16,78238.05741,579.02,495671,1938,2.17E+11,3.62,453682.3204,1346.26,48.52,1.1325,6836,14687,577.22,583.25,582.25,581.7
21/08/2016,581.94,584.16,580.22,581.31,0.89,65816.70705,581.91,446866,2038,2.17E+11,3.62,365022.0994,1341.5,47.05,1.132,7330,14412,579.55,583.82,581.82,581.31
22/08/2016,581.31,588.45,580.59,586.75,0.17,124673.1019,584.28,526727,1975,2.17E+11,3.64,737645.6044,1335.85,47.05,1.132,8395,18821,583.25,583.45,581.42,586.75
23/08/2016,586.77,589.47,581.63,583.41,-0.34,145816.3056,585.32,512461,1838,2.17E+11,3.82,3181701.571,1339.48,48.1,1.1305,8897,18812,583.82,580.45,580.91,583.41
24/08/2016,583.41,583.59,579.85,580.18,1.43,96823.77613,581.76,513945,1900,2.17E+11,3.9,1134669.231,1331.36,46.77,1.1264,9239,19302,583.45,579.20,580.40,580.18
25/08/2016,580.18,580.45,575.17,577.76,-0.64,235360.2241,578.39,489493,1625,2.17E+11,3.83,837172.3238,1323.12,47.33,1.1285,8900,20127,580.45,575.79,579.45,577.76
26/08/2016,577.75,580.62,576.86,579.65,0.23,84422.17307,578.72,483713,1650,2.17E+11,3.82,626358.6387,1324.39,47.64,1.1198,8442,19606,579.20,574.50,578.82,579.65
27/08/2016,579.45,579.84,568.63,569.95,0.45,103918.9166,574.47,456265,1800,2.17E+11,3.78,1721105.82,1324.39,47.64,1.1198,7126,15956,575.79,572.66,577.64,569.95
28/08/2016,569.83,574.04,569.74,573.91,0.27,150908.5822,571.88,427997,1900,2.17E+11,3.74,636403.7433,1317.25,46.98,1.1189,7543,17112,574.50,575.17,576.86,573.91
29/08/2016,574.07,576.28,573.47,574.11,-0.36,192170.3105,574.48,500187,1863,2.21E+11,3.76,694148.9362,1322.52,46.98,1.1189,8722,22110,572.66,575.69,577.11,574.11
30/08/2016,574.11,578.36,574.11,577.5,0.08,122117.982,576.02,548999,2050,2.21E+11,3.78,612441.7989,1317.43,46.35,1.1143,8666,18322,575.17,575.09,577.79,577.5
31/08/2016,577.59,577.86,573.64,575.47,0.02,131636.2273,576.14,497980,1675,2.21E+11,3.8,441723.6842,1310.72,44.7,1.1158,9172,17456,575.69,574.44,577.66,575.47
1/09/2016,575.55,576.31,571.81,572.3,0.04,134015.2267,573.99,486458,1750,2.21E+11,3.82,586882.199,1312.06,44.7,1.1197,8596,18373,575.09,582.02,577.60,572.3
2/09/2016,572.41,575.64,570.81,575.54,0.95,139314.5049,573.6,477624,1913,2.21E+11,3.83,518028.7206,1319.84,27.94,1.1156,8115,20605,574.44,594.13,577.68,575.54
3/09/2016,575.55,599.5,574.06,598.21,-0.4,270971.1501,586.83,464611,1575,2.21E+11,3.86,643580.3109,1319.84,38.29,1.1156,7347,16664,582.02,604.48,579.18,598.21
4/09/2016,598.59,611.84,596.85,608.63,-0.16,162162.4822,603.98,438972,2238,2.21E+11,3.96,1220722.222,1327.75,38.29,1.1147,7896,16972,594.13,608.55,580.98,608.63
5/09/2016,608.99,609.05,602.24,606.59,-0.05,135889.3724,606.72,541919,1750,2.21E+11,4,1061497.5,1276.03,43.44,1.1147,9039,23183,604.48,610.52,582.66,606.59
6/09/2016,606.51,610.83,605.09,610.44,-0.05,129112.992,608.22,519346,1700,2.21E+11,3.97,428000,1338.45,50.56,1.1255,9374,35065,608.55,617.10,584.24,610.44
7/09/2016,610.57,614.54,608.51,614.54,0.14,122593.9481,612.04,525784,1900,2.21E+11,4.01,495852.8678,1347.2,50.56,1.1239,9426,23060,610.52,621.24,586.32,614.54
8/09/2016,614.64,628.77,613.84,626.32,-0.26,139659.1989,620.89,500357,1800,2.21E+11,3.98,609427.1357,1342.18,42.77,1.126,10042,19731,617.10,624.23,589.39,626.32
9/09/2016,626.35,626.83,620.26,622.86,-0.3,103432.5727,624.08,491674,1775,2.21E+11,3.98,364341.7085,1333.46,45.88,1.1233,9121,19091,621.24,617.70,592.40,622.86
10/09/2016,622.93,625.09,622.4,623.51,0.66,72202.47642,623.48,446010,1938,2.21E+11,3.97,166662.9723,1333.46,45.88,1.1233,8218,18701,624.23,612.82,595.33,623.51
11/09/2016,623.42,628.82,600.51,606.72,0,119717.6639,614.87,458631,2050,2.21E+11,3.92,535836.7347,1330.92,45.27,1.1235,7890,16124,617.70,608.07,597.78,606.72
12/09/2016,607.01,608.46,605.41,608.24,0.19,119899.0647,607.28,510506,2038,2.26E+11,3.84,639148.4375,1330.92,51.5,1.1235,10175,18821,612.82,609.39,600.07,608.24
13/09/2016,608.03,611.19,606.92,609.24,-0.45,142764.273,608.84,530408,2063,2.26E+11,3.83,579543.0809,1323.53,44.9,1.122,11035,20868,608.07,609.03,602.41,609.24
14/09/2016,608.84,611.95,608.41,610.68,0.24,78491.89304,609.97,491556,1950,2.26E+11,3.83,345255.8747,1320.38,43.58,1.125,10442,20554,609.39,608.27,604.62,610.68
