Date,Open,High,Low,Close,Volume,Weighted_bitcoin_price,bitcoin_sent,Address,generatedCoin,bitcoin_transactions,Mining_Difficulty,mine_a_block_min,Block_size,Weighted_litecoin_price,Volume_litecoin,Weighted_gold_price,Oil_price,usd/euro,Num_Wiki_view,Num_tweets,bitcoin_sent_inNum,Lable
9/09/2017,4229.81,4308.82,4114.11,4226.06,328513.8792,4219.7,7995447265,627154,2113,217721,9.23E+11,8.55,720328,66.69,7015969.531,1349.07,49.56,1.2036,29221,54796,1894790.451,4226.06
10/09/2017,4229.34,4245.44,3951.04,4122.94,405852.7764,4137.19,6848979301,558828,1725,193102,9.23E+11,10.41,775694,62.6,8464025.559,1346.7,49.58,1.1953,29004,52629,1655466.464,4122.94
11/09/2017,4122.47,4261.67,4099.4,4161.27,374250.2278,4161.2,11401220446,734974,2175,253318,9.23E+11,8.29,817828,64.07,6431652.88,1333.15,57.17,1.1953,31487,61659,2739887.64,4161.27
12/09/2017,4168.88,4344.65,4085.22,4130.81,445804.9221,4182.39,10373611695,710521,2350,256042,9.23E+11,7.63,698838,66.14,7275748.171,1328.78,57.17,1.1967,36669,64321,2480307.12,4130.81
13/09/2017,4131.98,4131.98,3789.92,3882.59,557064.0242,3984.12,11190319131,718715,2375,263130,9.23E+11,7.61,701072,62.4,8037211.282,1328.11,49.3,1.1885,51285,73211,2808730.443,3882.59
14/09/2017,3875.37,3920.6,3153.86,3154.95,770322.1644,3526.2,11667520550,773640,2175,267894,9.23E+11,8.18,784510,51.72,14495630.01,1324.9,49.89,1.1919,46945,81128,3308808.505,3154.95
15/09/2017,3166.3,3733.45,2946.62,3637.52,1230527.085,3370.97,12114522495,833211,2250,291899,9.23E+11,8.08,827894,43.14,36030133.7,1326.19,49.89,1.1945,45844,78373,3593779.385,3637.52
16/09/2017,3637.75,3808.84,3487.79,3625.04,499579.6542,3639.86,8357182390,647176,2113,228088,9.23E+11,8.51,687695,48.92,11493826.98,1326.19,49.89,1.1945,35393,64396,2296017.536,3625.04
17/09/2017,3606.28,3664.81,3445.64,3582.88,346625.067,3574.9,6372436055,588671,2200,197507,9.23E+11,8.19,569085,47.93,5117087.419,1319.63,49.91,1.1954,33829,52831,1782549.457,3582.88
18/09/2017,3591.09,4079.23,3591.09,4065.2,507147.0474,3831.65,9240325123,673775,1588,218077,1.10E+12,11.22,892532,52.05,7851585.168,1312.71,49.91,1.1954,39631,73426,2411578.595,4065.2
19/09/2017,4073.79,4094.07,3868.87,3924.97,391933.6892,3990.42,7642689054,786890,1950,282761,1.10E+12,9.28,930014,53.86,5320887.635,1311.14,49.48,1.1994,38494,71751,1915259.31,3924.97
20/09/2017,3916.36,4031.39,3857.73,3905.95,309030.8758,3927.86,7671809077,620733,1463,235606,1.10E+12,12.18,922533,52.39,3058828.021,1306.5,50.41,1.1892,34188,59979,1953177.831,3905.95
21/09/2017,3901.47,3916.42,3613.63,3631.04,374831.387,3765.64,7356780076,694714,2200,255081,1.10E+12,8.31,747889,49.06,4675153.037,1293.18,50.55,1.1941,31065,61443,1953659.956,3631.04
22/09/2017,3628.02,3758.27,3553.53,3630.7,328012.9884,3642.63,6829511404,649021,1738,227476,1.10E+12,10.38,780192,47.26,4615615.743,1294.89,50.66,1.1951,28590,63652,1874884.741,3630.7
23/09/2017,3629.92,3819.21,3594.58,3792.4,250230.9186,3709.03,4902465381,568729,2075,203695,1.10E+12,8.68,602921,48.48,2930548.515,1294.89,50.66,1.1951,22355,56876,1321764.823,3792.4
24/09/2017,3796.15,3796.15,3666.9,3682.84,205598.4259,3735.51,4148597902,532701,1813,185132,1.10E+12,9.87,636486,48.42,1696553.16,1297.38,52.22,1.1848,23710,55081,1110584.071,3682.84
25/09/2017,3681.58,3950.25,3681.58,3926.07,360697.3592,3809.87,7641877747,658174,1563,226478,1.10E+12,11.49,888327,49.8,4189578.153,1302.4,52.22,1.1848,26521,72699,2005810.631,3926.07
26/09/2017,3928.41,3969.89,3869.9,3892.35,266590.7303,3915.14,8216513135,728985,1725,263510,1.10E+12,10.51,929642,52,3339673.231,1302.74,51.88,1.1793,26945,61973,2098651.168,3892.35
27/09/2017,3892.94,4210.05,3884.82,4200.67,416809.9785,4047.12,8765986010,691464,1838,257814,1.10E+12,9.71,817589,54,4080796.444,1288.6,52.14,1.1745,27887,65959,2165981.243,4200.67
28/09/2017,4197.13,4279.31,4109.7,4174.73,408646.8014,4190.22,9662705987,758808,2213,275799,1.10E+12,8.16,815689,55.1,3666224.9,1285.29,51.56,1.1786,26235,70657,2306014.001,4174.73
29/09/2017,4171.62,4214.63,4039.29,4163.07,329636.0112,4147.15,8139522688,743932,2113,254269,1.10E+12,8.44,794582,52.83,3531326.898,1282.94,51.67,1.1814,25139,76874,1962678.632,4163.07
30/09/2017,4166.11,4358.43,4160.86,4338.71,283703.3536,4256.03,7118195167,628485,1725,212540,1.10E+12,10.49,752659,53.9,2438701.299,1282.94,51.67,1.1814,21560,56280,1672496.474,4338.71
1/10/2017,4341.05,4403.74,4269.81,4403.74,277457.3089,4354.58,6214261968,624785,1625,203523,1.10E+12,11.11,878514,54.62,1834181.618,1278.5,50.82,1.1733,23638,58917,1427063.452,4403.74
2/10/2017,4395.81,4470.23,4377.46,4409.32,324419.9329,4413.2,8960184435,815069,1875,294852,1.12E+12,9.65,955191,53.99,1768375.625,1274.52,53.86,1.1733,26007,66945,2030314.61,4409.32
3/10/2017,4408.46,4432.47,4258.89,4317.48,295802.7816,4354.32,7009261621,785914,2288,281949,1.12E+12,7.83,840334,52.73,1678666.717,1270.05,48.49,1.1744,26996,70772,1609725.886,4317.48
4/10/2017,4319.37,4352.31,4210.42,4229.36,261058.1104,4277.86,6254554285,639802,1675,232692,1.12E+12,10.84,792090,51.89,1493031.413,1274.98,53.08,1.1759,29069,76296,1462075.497,4229.36
5/10/2017,4229.88,4362.64,4164.05,4328.41,271998.2918,4271.24,7105641472,727434,1563,273118,1.12E+12,11.45,966756,51.34,1355559.018,1271.75,47.33,1.1711,26853,61290,1663601.547,4328.41
6/10/2017,4324.46,4413.27,4320.53,4370.81,245552.8273,4357.27,6037680095,819066,1988,283540,1.12E+12,9.07,872108,51.97,1142118.53,1270.68,47.33,1.173,24784,68406,1385656.637,4370.81
7/10/2017,4369.35,4443.88,4321.05,4426.89,206575.8754,4390.29,4597912499,670951,1975,231068,1.12E+12,9.15,796951,52.28,990554.7054,1270.68,44.4,1.173,22487,76111,1047291.295,4426.89
8/10/2017,4429.67,4624.14,4405.64,4610.48,290841.3434,4517.48,5731659502,689838,2275,238203,1.12E+12,7.79,722102,53.1,1899077.213,1276.53,48.59,1.174,23976,63113,1268773.631,4610.48
9/10/2017,4614.52,4878.71,4564.25,4772.02,418224.1434,4707.38,11927146704,800806,2013,296785,1.12E+12,9.08,865000,51.28,2971255.85,1281.24,48.59,1.174,28288,73002,2533712.321,4772.02
10/10/2017,4776.21,4922.17,4765.1,4781.99,331951.184,4811.37,9411065327,826210,2000,302941,1.12E+12,8.89,903051,50.6,1786867.668,1287.08,50.92,1.1808,29241,79373,1956005.322,4781.99
