Date,Bitcoin
2016/9/5,9039
2016/9/6,9374
2016/9/7,9426
2016/9/8,10042
2016/9/9,9121
2016/9/10,8218
2016/9/11,7890
2016/9/12,10175
2016/9/13,11035
2016/9/14,10442
2016/9/15,10277
2016/9/16,10414
2016/9/17,9034
2016/9/18,9227
2016/9/19,9584
2016/9/20,9873
2016/9/21,9285
2016/9/22,9903
2016/9/23,8100
2016/9/24,8840
2016/9/25,7642
2016/9/26,9531
2016/9/27,8507
2016/9/28,8127
2016/9/29,8014
2016/9/30,8491
2016/10/1,7590
2016/10/2,7652
2016/10/3,8347
2016/10/4,9345
2016/10/5,9086
2016/10/6,8649
2016/10/7,8874
2016/10/8,7025
2016/10/9,7078
2016/10/10,7981
2016/10/11,9581
2016/10/12,10134
2016/10/13,8788
2016/10/14,8502
2016/10/15,6829
2016/10/16,7378
2016/10/17,9038
2016/10/18,9037
2016/10/19,8766
2016/10/20,7861
2016/10/21,9966
2016/10/22,6727
2016/10/23,8054
2016/10/24,8868
2016/10/25,9923
2016/10/26,8501
2016/10/27,8667
2016/10/28,14518
2016/10/29,10900
2016/10/30,8571
2016/10/31,12082
2016/11/1,10272
2016/11/2,10374
2016/11/3,9857
2016/11/4,9168
2016/11/5,12204
2016/11/6,10908
2016/11/7,11614
2016/11/8,11807
2016/11/9,12959
2016/11/10,11493
2016/11/11,10046
2016/11/12,8957
2016/11/13,9805
2016/11/14,21607
2016/11/15,11771
2016/11/16,12522
2016/11/17,11377
2016/11/18,10650
2016/11/19,8894
2016/11/20,10466
2016/11/21,11120
2016/11/22,11421
2016/11/23,10960
2016/11/24,11876
2016/11/25,10238
2016/11/26,8430
2016/11/27,9523
2016/11/28,12311
2016/11/29,14544
2016/11/30,12018
2016/12/1,10921
2016/12/2,11564
2016/12/3,8544
2016/12/4,8833
2016/12/5,10512
2016/12/6,11527
2016/12/7,10847
2016/12/8,10893
2016/12/9,9588
2016/12/10,8835
2016/12/11,8676
2016/12/12,10465
2016/12/13,11745
2016/12/14,11373
2016/12/15,10924
2016/12/16,10416
2016/12/17,8770
2016/12/18,9127
2016/12/19,11821
2016/12/20,11646
2016/12/21,12246
2016/12/22,13374
2016/12/23,14116
2016/12/24,11547
2016/12/25,10882
2016/12/26,12433
2016/12/27,13454
2016/12/28,14314
2016/12/29,15813
2016/12/30,16270
2016/12/31,10295
2017/1/1,9554
2017/1/2,22579
2017/1/3,25183
2017/1/4,22281
2017/1/5,24655
2017/1/6,21964
2017/1/7,17362
2017/1/8,16490
2017/1/9,17720
2017/1/10,16258
2017/1/11,17559
2017/1/12,18224
2017/1/13,16546
2017/1/14,15220
2017/1/15,12144
2017/1/16,13679
2017/1/17,16112
2017/1/18,14637
2017/1/19,14435
2017/1/20,11860
2017/1/21,10255
2017/1/22,11029
2017/1/23,14272
2017/1/24,13062
2017/1/25,12050
2017/1/26,11932
2017/1/27,11747
2017/1/28,12571
2017/1/29,11690
2017/1/30,14073
2017/1/31,13225
2017/2/1,13278
2017/2/2,13524
2017/2/3,12876
2017/2/4,11078
2017/2/5,12070
2017/2/6,13166
2017/2/7,13554
2017/2/8,13313
2017/2/9,13381
2017/2/10,12212
2017/2/11,10009
2017/2/12,10944
2017/2/13,12472
2017/2/14,11624
2017/2/15,12330
2017/2/16,12923
2017/2/17,14331
2017/2/18,12842
2017/2/19,10644
2017/2/20,12193
2017/2/21,13870
2017/2/22,13371
2017/2/23,14046
2017/2/24,15834
2017/2/25,17751
2017/2/26,16385
2017/2/27,15063
2017/2/28,15679
2017/3/1,17507
2017/3/2,18929
2017/3/3,40347
2017/3/4,25835
2017/3/5,17862
2017/3/6,20274
2017/3/7,17149
2017/3/8,15721
2017/3/9,15556
2017/3/10,19093
2017/3/11,15958
2017/3/12,14093
2017/3/13,16417
2017/3/14,19528
2017/3/15,17689
2017/3/16,16895
2017/3/17,15663
2017/3/18,15288
2017/3/19,14669
2017/3/20,17922
2017/3/21,16453
2017/3/22,14885
2017/3/23,14546
2017/3/24,13225
2017/3/25,11334
2017/3/26,12736
2017/3/27,13370
2017/3/28,13970
2017/3/29,13533
2017/3/30,13812
2017/3/31,12980
2017/4/1,11815
2017/4/2,11420
2017/4/3,14614
2017/4/4,14537
2017/4/5,13465
2017/4/6,13169
2017/4/7,13208
2017/4/8,11200
2017/4/9,10873
2017/4/10,13166
2017/4/11,16999
2017/4/12,13871
2017/4/13,13786
2017/4/14,12174
2017/4/15,10065
2017/4/16,11044
2017/4/17,18666
2017/4/18,22995
2017/4/19,15773
2017/4/20,14703
2017/4/21,14230
2017/4/22,11143
2017/4/23,12071
2017/4/24,16047
2017/4/25,16503
2017/4/26,14681
2017/4/27,14889
2017/4/28,13791
2017/4/29,11038
2017/4/30,16195
2017/5/1,14544
2017/5/2,17143
2017/5/3,17277
2017/5/4,19238
2017/5/5,16900
2017/5/6,17793
2017/5/7,17777
2017/5/8,19666
2017/5/9,23935
2017/5/10,24385
2017/5/11,25185
2017/5/12,39626
2017/5/13,47817
2017/5/14,43113
2017/5/15,91099
2017/5/16,88685
2017/5/17,59979
2017/5/18,45865
2017/5/19,38662
2017/5/20,33314
2017/5/21,31659
2017/5/22,70929
2017/5/23,77232
2017/5/24,70266
2017/5/25,73348
2017/5/26,61597
2017/5/27,41682
2017/5/28,32640
2017/5/29,35534
2017/5/30,35423
2017/5/31,34254
2017/6/1,31694
2017/6/2,28056
2017/6/3,25776
2017/6/4,23455
2017/6/5,28797
2017/6/6,35757
2017/6/7,33834
2017/6/8,27396
2017/6/9,26320
2017/6/10,23523
2017/6/11,27303
2017/6/12,35940
2017/6/13,32860
2017/6/14,28795
2017/6/15,29145
2017/6/16,28247
2017/6/17,23079
2017/6/18,22615
2017/6/19,25447
2017/6/20,28562
2017/6/21,32491
2017/6/22,30385
2017/6/23,25673
2017/6/24,24171
2017/6/25,22222
2017/6/26,25687
2017/6/27,35577
2017/6/28,45873
2017/6/29,34271
2017/6/30,26499
2017/7/1,23015
2017/7/2,24879
2017/7/3,25546
2017/7/4,25454
2017/7/5,26835
2017/7/6,27578
2017/7/7,24291
2017/7/8,21337
2017/7/9,22075
2017/7/10,26029
2017/7/11,27965
2017/7/12,27322
2017/7/13,28320
2017/7/14,24585
2017/7/15,20377
2017/7/16,20854
2017/7/17,24527
2017/7/18,29243
2017/7/19,31101
2017/7/20,32662
2017/7/21,26503
2017/7/22,23406
2017/7/23,28733
2017/7/24,28648
2017/7/25,26829
2017/7/26,27343
2017/7/27,27907
2017/7/28,24242
2017/7/29,21545
2017/7/30,35070
2017/7/31,24947
2017/8/1,53066
2017/8/2,77020
2017/8/3,31439
2017/8/4,24554
2017/8/5,26393
2017/8/6,26523
2017/8/7,34664
2017/8/8,41798
2017/8/9,37017
2017/8/10,34824
2017/8/11,32144
2017/8/12,29789
2017/8/13,38392
2017/8/14,52910
2017/8/15,48514
2017/8/16,41717
2017/8/17,38805
2017/8/18,38499
2017/8/19,35335
2017/8/20,36346
2017/8/21,37991
2017/8/22,41910
2017/8/23,40176
2017/8/24,37747
2017/8/25,35538
2017/8/26,31638
2017/8/27,29011
2017/8/28,32545
2017/8/29,35649
2017/8/30,37497
2017/8/31,40717
2017/9/1,37745
2017/9/2,34203
2017/9/3,33920
2017/9/4,40423
2017/9/5,40049
2017/9/6,39593
2017/9/7,39771
2017/9/8,32450
2017/9/9,29221
2017/9/10,29004
2017/9/11,31487
2017/9/12,36669
2017/9/13,51285
2017/9/14,46945
2017/9/15,45844
2017/9/16,35393
2017/9/17,33829
2017/9/18,39631
2017/9/19,38494
2017/9/20,34188
2017/9/21,31065
2017/9/22,28590
2017/9/23,22355
2017/9/24,23710
2017/9/25,26521
2017/9/26,26945
2017/9/27,27887
2017/9/28,26235
2017/9/29,25139
2017/9/30,21560
2017/10/1,23638
2017/10/2,26007
2017/10/3,26996
2017/10/4,29069
2017/10/5,26853
2017/10/6,24784
2017/10/7,22487
2017/10/8,23976
2017/10/9,28288
2017/10/10,29241
2017/10/11,31418
2017/10/12,45338
2017/10/13,53804
2017/10/14,40825
2017/10/15,37131
2017/10/16,41339
2017/10/17,37203
2017/10/18,34385
2017/10/19,34379
2017/10/20,39782
2017/10/21,44661
2017/10/22,40331
2017/10/23,46345
2017/10/24,43756
2017/10/25,40927
2017/10/26,39086
2017/10/27,36708
2017/10/28,31082
2017/10/29,33836
2017/10/30,42538
2017/10/31,48178
2017/11/1,56103
2017/11/2,74790
2017/11/3,64293
2017/11/4,49914
2017/11/5,48027
2017/11/6,51778
2017/11/7,51470
2017/11/8,54912
2017/11/9,54591
2017/11/10,53492
2017/11/11,44339
2017/11/12,45229
2017/11/13,54732
2017/11/14,50079
2017/11/15,46140
2017/11/16,49047
2017/11/17,62242
2017/11/18,48910
2017/11/19,44907
2017/11/20,58371
2017/11/21,61690
2017/11/22,53155
2017/11/23,47490
2017/11/24,45720
2017/11/25,44223
2017/11/26,65803
2017/11/27,123516
2017/11/28,144286
2017/11/29,262289
2017/11/30,212459
2017/12/1,167229
2017/12/2,111343
2017/12/3,107583
2017/12/4,161367
2017/12/5,159921
2017/12/6,179109
2017/12/7,331637
2017/12/8,344686
2017/12/9,214245
2017/12/10,189621
2017/12/11,242875
2017/12/12,230521
2017/12/13,201431
2017/12/14,163855
2017/12/15,128830
2017/12/16,117337
2017/12/17,124072
2017/12/18,137631
2017/12/19,156057
2017/12/20,164499
2017/12/21,141432
2017/12/22,164227
2017/12/23,145737
2017/12/24,109871
2017/12/25,116313
2017/12/26,126930
2017/12/27,99195
2017/12/28,92296
2017/12/29,91724
2017/12/30,83250
2017/12/31,67355
2018/1/1,65416
2018/1/2,85549
2018/1/3,91452
2018/1/4,86342
2018/1/5,79232
2018/1/6,79836
2018/1/7,79013
