DATE,CLOSING,OPEN,HIGH,LOW
4/28/2017,1268.15,1264.23,1268.53,1263.43
4/27/2017,1268.25,1269.10,1269.65,1261.53
4/26/2017,1272.25,1263.58,1272.38,1260.48
4/25/2017,1263.75,1276.03,1278.13,1262.43
4/24/2017,1278.00,1270.13,1278.88,1266.68
4/21/2017,1285.00,1281.78,1288.33,1278.78
4/20/2017,1286.75,1279.73,1286.75,1277.03
4/19/2017,1281.40,1289.78,1290.73,1276.83
4/18/2017,1289.65,1284.63,1292.23,1280.03
4/17/2017,1284.80,1291.08,1295.48,1281.88
4/14/2017,1285.68,1287.00,1287.00,1284.25
4/13/2017,1299.75,1285.53,1299.88,1282.23
4/12/2017,1286.60,1273.93,1286.78,1272.58
4/11/2017,1276.75,1255.20,1276.88,1253.58
4/10/2017,1254.73,1254.88,1257.03,1247.93
4/09/2017,1254.05,1254.05,1254.05,1254.05
4/08/2017,1254.05,1254.05,8.00,8.00
4/07/2017,1254.05,1251.93,1269.78,1250.78
4/06/2017,1253.55,1255.93,1259.03,1250.28
4/05/2017,1255.30,1256.18,1257.33,1244.13
4/04/2017,1253.75,1254.48,1261.23,1253.63
4/03/2017,1258.25,1249.58,1258.25,1244.63
4/02/2017,1249.13,1249.13,1249.13,1249.13
3/31/2017,1249.13,1243.98,1250.63,1240.33
3/30/2017,1256.25,1253.05,1256.38,1242.93
3/29/2017,1252.45,1251.08,1254.68,1247.78
3/28/2017,1256.15,1253.88,1258.38,1248.33
3/27/2017,1257.45,1248.53,1260.98,1248.53
3/26/2017,1254.98,1254.98,1254.98,1254.98
3/24/2017,1254.98,1244.98,1254.98,1241.23
3/23/2017,1244.88,1247.83,1252.88,1243.18
3/22/2017,1247.48,1245.53,1251.38,1244.33
3/21/2017,1245.88,1234.63,1247.58,1227.13
3/20/2017,1234.38,1230.73,1235.48,1229.58
3/19/2017,1230.83,1229.88,1231.03,1229.88
3/17/2017,1229.15,1226.88,1231.53,1224.93
3/16/2017,1227.08,1218.93,1233.13,1218.78
3/15/2017,1218.88,1199.33,1222.10,1197.93
3/14/2017,1199.03,1202.28,1207.43,1197.53
3/13/2017,1202.63,1203.98,1204.18,1202.18
3/12/2017,1206.35,1204.80,1207.05,1204.80
3/10/2017,1204.80,1200.88,1206.15,1195.38
3/09/2017,1200.90,1208.48,1209.08,1199.40
3/08/2017,1205.25,1216.18,1218.43,1205.13
3/07/2017,1212.95,1225.83,1227.18,1211.13
3/06/2017,1228.05,1233.58,1236.88,1225.13
3/05/2017,1234.78,1234.78,1234.78,1234.78
3/03/2017,1234.78,1234.33,1236.08,1223.63
3/02/2017,1234.65,1248.63,1248.78,1231.40
3/01/2017,1249.75,1248.58,1250.50,1236.15
2/28/2017,1248.38,1252.63,1258.23,1248.13
2/27/2017,1247.25,1256.18,1263.73,1247.13
2/26/2017,1256.98,1256.98,1256.98,1256.98
2/24/2017,1256.98,1249.38,1260.08,1247.83
2/23/2017,1249.30,1237.18,1250.75,1235.98
2/22/2017,1237.60,1236.18,1240.43,1232.08
2/21/2017,1235.95,1237.43,1238.83,1226.68
2/20/2017,1249.75,1235.78,1249.75,1233.03
2/19/2017,1230.25,1235.03,1235.03,1230.25
2/17/2017,1235.03,1238.83,1243.63,1234.68
2/16/2017,1239.35,1233.78,1242.33,1232.28
2/14/2017,1228.68,1225.48,1234.78,1222.18
2/13/2017,1226.95,1230.93,1232.33,1219.53
2/12/2017,1233.58,1233.58,1233.58,1233.58
2/10/2017,1233.58,1229.03,1236.68,1221.78
2/09/2017,1226.33,1241.08,1244.33,1226.33
2/08/2017,1242.38,1234.03,1244.43,1230.48
2/07/2017,1233.75,1234.48,1235.83,1228.08
2/06/2017,1235.83,1222.78,1235.83,1219.48
2/05/2017,1220.20,1220.20,1220.20,1220.20
2/03/2017,1220.20,1214.93,1221.33,1210.70
2/02/2017,1224.05,1209.13,1225.23,1208.58
2/01/2017,1214.75,1210.83,1214.75,1198.43
1/31/2017,1215.35,1195.58,1215.38,1194.28
1/30/2017,1197.75,1192.98,1199.15,1188.45
1/29/2017,1191.18,1191.18,1191.18,1191.18
1/27/2017,1191.18,1189.18,1191.78,1181.18
1/26/2017,1180.63,1200.98,1202.63,1180.63
1/25/2017,1203.75,1209.48,1209.88,1193.45
1/24/2017,1215.35,1219.20,1219.60,1206.98
1/23/2017,1219.45,1211.03,1219.53,1209.63
1/22/2017,1193.35,1193.35,1193.35,1193.35
1/19/2017,1213.75,1205.03,1213.88,1196.68
1/18/2017,1220.08,1216.68,1220.08,1202.73
1/17/2017,1216.85,1203.13,1218.53,1203.13
1/16/2017,1212.75,1198.48,1212.88,1198.48
1/13/2017,1197.45,1194.63,1200.33,1188.33
1/11/2017,1179.03,1187.73,1197.98,1177.33
1/10/2017,1189.25,1182.03,1190.18,1180.53
1/09/2017,1188.75,1188.75,1188.75,1188.75
1/06/2017,1169.75,1180.18,1181.33,1169.63
1/05/2017,1179.88,1163.53,1184.78,1163.33
1/04/2017,1168.88,1159.03,1168.88,1156.38
1/03/2017,1158.98,1151.98,1162.83,1146.48
1/02/2017,1152.15,1152.15,1152.15,1152.15
1/01/2017,1133.75,1133.75,1133.75,1133.75
12/30/2016,1141.25,1157.98,1163.28,1141.25
12/29/2016,1157.90,1142.53,1159.18,1141.98
12/28/2016,1141.58,1139.43,1144.48,1136.65
12/27/2016,1138.85,1134.85,1148.00,1131.85
12/26/2016,1142.00,,1142.00,1142.00
12/23/2016,1133.95,1128.58,1135.75,1128.43
12/22/2016,1128.78,1131.58,1134.00,1128.00
12/21/2016,1131.25,1132.53,1137.05,1129.58
12/20/2016,1132.05,1138.63,1139.78,1126.00
12/19/2016,1144.75,1135.23,1144.75,1135.08
12/16/2016,1131.25,1128.68,1141.25,1126.78
12/15/2016,1128.20,1142.13,1144.43,1123.20
12/14/2016,1140.25,1158.78,1165.00,1140.10
12/13/2016,1158.25,1163.38,1164.93,1154.75
12/12/2016,1162.45,1158.68,1165.70,1152.28
12/09/2016,1160.35,1170.43,1172.05,1156.80
12/08/2016,1170.75,1174.53,1178.53,1169.55
12/07/2016,1173.95,1169.53,1180.38,1166.13
12/06/2016,1178.75,1170.28,1178.75,1167.20
12/05/2016,1178.85,1186.18,1187.83,1157.50
12/02/2016,1177.50,1172.63,1177.93,1167.48
12/01/2016,1161.00,1174.18,1176.55,1161.00
11/30/2016,1168.55,1188.53,1195.03,1168.55
11/29/2016,1187.75,1193.68,1194.88,1181.63
11/28/2016,1194.75,1189.58,1194.88,1183.78
11/27/2016,1182.25,1182.25,1182.25,1182.25
11/25/2016,1182.25,1185.63,1193.03,1171.63
11/24/2016,1184.08,1188.30,1190.93,1181.85
11/23/2016,1193.38,1213.20,1214.95,1181.98
11/22/2016,1212.30,1213.70,1220.95,1206.88
11/21/2016,1207.25,1207.60,1217.63,1205.80
11/20/2016,1200.85,1200.85,1200.85,1200.85
11/18/2016,1208.55,1216.80,1217.80,1204.30
11/17/2016,1222.78,1225.50,1233.38,1211.78
11/16/2016,1224.15,1228.50,1232.70,1221.85
11/15/2016,1228.70,1221.65,1231.40,1219.40
11/14/2016,1221.10,1223.25,1228.53,1211.78
11/13/2016,1211.25,1227.60,1227.60,1211.25
11/11/2016,1227.60,1259.15,1265.50,1220.00
11/10/2016,1246.95,1278.85,1291.55,1246.95
11/09/2016,1270.55,1273.35,1336.70,1269.80
11/08/2016,1271.25,1271.25,1271.25,1271.25
11/07/2016,1279.25,1292.20,1295.85,1278.50
11/06/2016,1273.25,,1273.25,1273.25
11/04/2016,1304.25,1304.45,1306.00,1295.00
11/03/2016,1303.05,1298.50,1306.25,1286.13
11/02/2016,1298.10,1288.60,1307.28,1287.55
11/01/2016,1289.05,1276.95,1291.88,1275.85
10/31/2016,1276.70,1277.45,1279.50,1269.25
10/30/2016,1277.70,1277.90,1279.40,1276.55
10/28/2016,1284.25,1268.45,1284.25,1262.30
10/27/2016,1265.75,1266.80,1272.50,1265.35
10/26/2016,1265.75,1273.95,1276.40,1265.03
10/25/2016,1276.75,1264.75,1276.75,1262.35
10/24/2016,1255.55,1266.10,1271.78,1255.55
10/23/2016,1266.75,1266.75,1266.75,1266.75
10/21/2016,1266.75,1266.00,1267.93,1261.35
10/20/2016,1263.63,1269.60,1273.83,1263.63
10/19/2016,1272.25,1263.05,1273.33,1260.45
10/18/2016,1265.25,1254.90,1267.75,1254.30
10/17/2016,1254.00,1251.40,1257.20,1250.55
10/16/2016,1250.55,1250.55,1250.55,1250.55
10/14/2016,1250.55,1258.35,1259.38,1246.63
10/13/2016,1260.25,1255.90,1267.75,1253.20
10/12/2016,1262.35,1253.05,1262.35,1250.40
10/11/2016,1245.25,,1245.25,1245.25
10/10/2016,1253.10,1257.70,1334.73,1253.10
10/09/2016,1240.25,1240.25,1240.25,1240.25
10/07/2016,1240.25,1255.50,1264.85,1240.25
10/06/2016,1254.70,1267.95,1269.45,1250.25
10/05/2016,1263.00,1268.65,1276.80,1262.10
10/04/2016,1266.25,1312.15,1334.73,1266.10
10/03/2016,1311.88,1317.45,1319.50,1309.60
10/02/2016,1312.00,1312.00,1312.00,1312.00
9/30/2016,1312.00,1321.50,1328.03,1312.00
9/29/2016,1315.80,1322.00,1325.78,1315.80
9/28/2016,1321.95,1327.05,1327.63,1318.33
9/27/2016,1326.40,1338.55,1339.58,1325.38
9/26/2016,1337.95,1337.38,1338.68,1337.38
9/25/2016,1343.20,1343.20,1343.20,1343.20
9/23/2016,1343.20,1337.65,1343.20,1333.98
9/22/2016,1343.20,1334.20,1344.05,1331.53
9/21/2016,1342.20,1315.05,1342.20,1309.58
9/20/2016,1315.10,1313.50,1317.83,1312.43
9/19/2016,1314.20,1310.05,1318.25,1309.58
9/18/2016,1303.55,1303.55,1303.55,1303.55
9/16/2016,1303.55,1315.35,1318.08,1303.55
9/15/2016,1314.80,1323.00,1327.68,1306.95
9/14/2016,1320.30,1319.00,1325.68,1316.55
9/13/2016,1318.50,1327.70,1331.98,1315.95
9/12/2016,1337.10,1328.85,1337.10,1320.65
9/09/2016,1328.05,1338.45,1339.58,1327.75
9/08/2016,1337.75,1345.88,1348.98,1336.13
9/07/2016,1344.95,1348.45,1352.48,1342.93
9/06/2016,1350.30,1326.45,1351.83,1325.23
9/05/2016,1325.55,1225.25,1328.35,1224.95
9/04/2016,1327.75,1327.75,1327.75,1327.75
9/02/2016,1327.75,1314.05,1329.48,1308.08
9/01/2016,1315.25,1310.33,1319.85,1302.83
8/31/2016,1308.95,1311.60,1316.15,1306.18
