Date,Block_size
2014-10-03 00:00:00 UTC,290937
2014-10-04 00:00:00 UTC,276823
2014-10-05 00:00:00 UTC,268188
2014-10-06 00:00:00 UTC,280037
2014-10-07 00:00:00 UTC,337277
2014-10-08 00:00:00 UTC,308250
2014-10-09 00:00:00 UTC,300560
2014-10-10 00:00:00 UTC,285419
2014-10-11 00:00:00 UTC,248888
2014-10-12 00:00:00 UTC,286207
2014-10-13 00:00:00 UTC,296388
2014-10-14 00:00:00 UTC,368183
2014-10-15 00:00:00 UTC,297119
2014-10-16 00:00:00 UTC,284945
2014-10-17 00:00:00 UTC,290465
2014-10-18 00:00:00 UTC,225046
2014-10-19 00:00:00 UTC,312005
2014-10-20 00:00:00 UTC,338067
2014-10-21 00:00:00 UTC,312191
2014-10-22 00:00:00 UTC,289547
2014-10-23 00:00:00 UTC,308030
2014-10-24 00:00:00 UTC,269695
2014-10-25 00:00:00 UTC,265845
2014-10-26 00:00:00 UTC,333230
2014-10-27 00:00:00 UTC,315267
2014-10-28 00:00:00 UTC,353805
2014-10-29 00:00:00 UTC,319597
2014-10-30 00:00:00 UTC,298693
2014-10-31 00:00:00 UTC,254221
2014-11-01 00:00:00 UTC,242736
2014-11-02 00:00:00 UTC,315693
2014-11-03 00:00:00 UTC,303758
2014-11-04 00:00:00 UTC,303959
2014-11-05 00:00:00 UTC,350468
2014-11-06 00:00:00 UTC,349832
2014-11-07 00:00:00 UTC,338618
2014-11-08 00:00:00 UTC,265582
2014-11-09 00:00:00 UTC,316057
2014-11-10 00:00:00 UTC,346647
2014-11-11 00:00:00 UTC,385816
2014-11-12 00:00:00 UTC,371572
2014-11-13 00:00:00 UTC,381122
2014-11-14 00:00:00 UTC,324487
2014-11-15 00:00:00 UTC,288057
2014-11-16 00:00:00 UTC,316553
2014-11-17 00:00:00 UTC,367715
2014-11-18 00:00:00 UTC,324235
2014-11-19 00:00:00 UTC,338610
2014-11-20 00:00:00 UTC,360704
2014-11-21 00:00:00 UTC,367333
2014-11-22 00:00:00 UTC,265635
2014-11-23 00:00:00 UTC,333664
2014-11-24 00:00:00 UTC,346860
2014-11-25 00:00:00 UTC,378574
2014-11-26 00:00:00 UTC,342085
2014-11-27 00:00:00 UTC,346226
2014-11-28 00:00:00 UTC,328049
2014-11-29 00:00:00 UTC,273658
2014-11-30 00:00:00 UTC,361433
2014-12-01 00:00:00 UTC,415373
2014-12-02 00:00:00 UTC,391369
2014-12-03 00:00:00 UTC,474029
2014-12-04 00:00:00 UTC,378690
2014-12-05 00:00:00 UTC,324024
2014-12-06 00:00:00 UTC,326682
2014-12-07 00:00:00 UTC,350832
2014-12-08 00:00:00 UTC,352165
2014-12-09 00:00:00 UTC,359034
2014-12-10 00:00:00 UTC,348320
2014-12-11 00:00:00 UTC,327351
2014-12-12 00:00:00 UTC,333217
2014-12-13 00:00:00 UTC,284367
2014-12-14 00:00:00 UTC,367710
2014-12-15 00:00:00 UTC,410678
2014-12-16 00:00:00 UTC,433899
2014-12-17 00:00:00 UTC,461817
2014-12-18 00:00:00 UTC,426958
2014-12-19 00:00:00 UTC,398502
2014-12-20 00:00:00 UTC,384144
2014-12-21 00:00:00 UTC,352555
2014-12-22 00:00:00 UTC,352498
2014-12-23 00:00:00 UTC,391735
2014-12-24 00:00:00 UTC,291175
2014-12-25 00:00:00 UTC,235350
2014-12-26 00:00:00 UTC,274922
2014-12-27 00:00:00 UTC,290968
2014-12-28 00:00:00 UTC,280020
2014-12-29 00:00:00 UTC,284166
2014-12-30 00:00:00 UTC,301215
2014-12-31 00:00:00 UTC,269748
2015-01-01 00:00:00 UTC,187484
2015-01-02 00:00:00 UTC,265137
2015-01-03 00:00:00 UTC,295149
2015-01-04 00:00:00 UTC,282243
2015-01-05 00:00:00 UTC,360961
2015-01-06 00:00:00 UTC,314166
2015-01-07 00:00:00 UTC,342806
2015-01-08 00:00:00 UTC,390777
2015-01-09 00:00:00 UTC,406356
2015-01-10 00:00:00 UTC,398392
2015-01-11 00:00:00 UTC,333322
2015-01-12 00:00:00 UTC,388421
2015-01-13 00:00:00 UTC,473649
2015-01-14 00:00:00 UTC,420507
2015-01-15 00:00:00 UTC,422706
2015-01-16 00:00:00 UTC,394175
2015-01-17 00:00:00 UTC,391076
2015-01-18 00:00:00 UTC,320820
2015-01-19 00:00:00 UTC,402776
2015-01-20 00:00:00 UTC,450219
2015-01-21 00:00:00 UTC,354153
2015-01-22 00:00:00 UTC,396514
2015-01-23 00:00:00 UTC,390417
2015-01-24 00:00:00 UTC,372340
2015-01-25 00:00:00 UTC,457590
2015-01-26 00:00:00 UTC,491456
2015-01-27 00:00:00 UTC,384687
2015-01-28 00:00:00 UTC,273634
2015-01-29 00:00:00 UTC,282345
2015-01-30 00:00:00 UTC,312747
2015-01-31 00:00:00 UTC,314858
2015-02-01 00:00:00 UTC,300458
2015-02-02 00:00:00 UTC,308428
2015-02-03 00:00:00 UTC,404065
2015-02-04 00:00:00 UTC,311073
2015-02-05 00:00:00 UTC,298086
2015-02-06 00:00:00 UTC,260909
2015-02-07 00:00:00 UTC,284946
2015-02-08 00:00:00 UTC,406655
2015-02-09 00:00:00 UTC,366250
2015-02-10 00:00:00 UTC,397552
2015-02-11 00:00:00 UTC,347812
2015-02-12 00:00:00 UTC,421358
2015-02-13 00:00:00 UTC,501243
2015-02-14 00:00:00 UTC,416031
2015-02-15 00:00:00 UTC,468847
2015-02-16 00:00:00 UTC,414954
2015-02-17 00:00:00 UTC,445682
2015-02-18 00:00:00 UTC,361059
2015-02-19 00:00:00 UTC,315927
2015-02-20 00:00:00 UTC,382550
2015-02-21 00:00:00 UTC,401512
2015-02-22 00:00:00 UTC,356274
2015-02-23 00:00:00 UTC,404722
2015-02-24 00:00:00 UTC,435635
