Date,Open,High,Low,Close,Weighted_bitcoin_price,Volume,Address,Mining_Difficulty,Weighted_litecoin_price,Oil_price,usd/euro,Num_Wiki_view,Num_tweets,3d MA,Lable
4/04/2016,421.3,422.34,419.6,421.44,421.17,120222.9504,487367,1.67E+11,3.25,35.7,1.1391,8360,24516,421.07,424.03
5/04/2016,421.02,424.26,420.61,424.03,422.48,143718.0458,460775,1.67E+11,3.25,43.78,1.1384,9526,26914,422.12,423.41
6/04/2016,424.28,424.53,422.73,423.41,423.74,139451.0785,479006,1.67E+11,3.26,43.78,1.1399,8212,23270,422.96,422.74
7/04/2016,423.62,423.66,420.52,422.74,422.64,136898.0693,446278,1.67E+11,3.25,48.76,1.1378,8289,23407,423.39,420.35
8/04/2016,422.91,425.36,419.64,420.35,422.06,150345.2116,440786,1.67E+11,3.23,41.93,1.1399,8760,24554,422.17,419.41
9/04/2016,420.81,420.89,416.52,419.41,419.41,118720.8221,423711,1.67E+11,3.22,41.93,1.1399,6351,19399,420.83,421.56
10/04/2016,419.59,422.43,419.26,421.56,420.71,174653.7995,435519,1.67E+11,3.23,48.69,1.1408,6910,19193,420.44,422.48
11/04/2016,421.87,422.74,420.53,422.48,421.9,120283.2425,477742,1.67E+11,3.23,44.07,1.1408,9268,23919,421.15,425.19
12/04/2016,422.84,427.28,422.84,425.19,424.54,166601.027,511761,1.67E+11,3.25,44.07,1.1386,8641,23252,423.08,423.73
13/04/2016,425.63,426.66,422.92,423.73,424.74,162594.5284,495154,1.67E+11,3.25,41.76,1.1274,9055,23243,423.8,424.28
14/04/2016,423.93,425.37,423.01,424.28,424.15,106757.0435,470246,1.79E+11,3.24,41.5,1.1268,8202,24938,424.4,429.71
15/04/2016,424.43,429.93,424.43,429.71,427.12,128304.6919,436767,1.79E+11,3.26,40.36,1.1284,7162,27593,425.91,430.57
16/04/2016,429.58,432.63,428.98,430.57,430.44,91517.51696,409222,1.79E+11,3.28,40.36,1.1284,5785,20857,428.19,427.4
17/04/2016,430.64,431.37,426.08,427.4,428.87,121542.4254,478093,1.79E+11,3.27,39.78,1.1313,6340,19395,429.23,428.59
18/04/2016,427.61,429.27,427.09,428.59,428.14,130029.6632,478493,1.79E+11,3.25,39.78,1.1313,7743,21989,428.85,435.51
19/04/2016,428.7,436.02,428.1,435.51,432.08,122223.8937,480065,1.79E+11,3.27,41.08,1.1358,9076,22642,430.5,441.39
20/04/2016,435.32,443.05,434.41,441.39,438.54,166210.8268,465440,1.79E+11,3.28,42.63,1.1297,8403,22973,435.16,449.42
21/04/2016,441.42,450.55,440.95,449.42,445.58,153069.4914,477575,1.79E+11,3.31,43.18,1.1288,11381,23282,442.11,445.74
22/04/2016,449.69,449.81,444.15,445.74,447.35,131450.5421,440135,1.79E+11,3.33,43.73,1.1222,9665,24241,445.52,450.28
23/04/2016,445.86,450.28,444.33,450.28,447.69,112768.6569,434758,1.79E+11,3.32,43.73,1.1222,7170,25236,448.48,458.55
24/04/2016,450.56,460.15,448.93,458.55,454.55,150034.9797,457552,1.79E+11,3.5,43.15,1.1268,8433,30727,451.52,461.43
25/04/2016,459.12,466.62,453.59,461.43,460.19,189251.8308,495022,1.79E+11,3.71,42.64,1.1268,9045,28861,456.75,466.09
26/04/2016,461.65,467.96,461.62,466.09,464.33,170077.109,524750,1.79E+11,3.94,44.04,1.1297,9250,26206,462.02,444.69
27/04/2016,466.26,467.08,444.13,444.69,455.54,205393.3705,471935,1.79E+11,4.01,45.33,1.1322,8777,28009,457.4,449.01
28/04/2016,445.04,449.55,436.65,449.01,445.06,166415.0991,460497,1.79E+11,3.81,46.03,1.1352,9540,26142,453.26,455.1
29/04/2016,449.41,455.38,446.02,455.1,451.48,109104.5008,516695,1.79E+11,3.79,45.92,1.1451,7765,26067,449.6,448.32
30/04/2016,455.18,455.59,447.7,448.32,451.7,153470.445,440383,1.79E+11,3.73,45.92,1.1451,6176,22785,450.81,451.88
1/05/2016,448.48,452.48,447.93,451.88,450.19,90317.64366,431043,1.79E+11,3.68,35.97,1.1534,6593,22113,451.77,444.67
2/05/2016,451.93,452.45,441.78,444.67,447.71,205773.8268,483655,1.79E+11,3.7,30.89,1.1534,88391,44092,448.29,450.3
3/05/2016,444.73,451.1,442.62,450.3,447.19,132754.3102,466136,1.79E+11,3.71,30.89,1.1496,43326,34902,448.95,446.72
4/05/2016,450.18,450.38,445.63,446.72,448.23,112458.5592,499193,1.79E+11,3.75,35.89,1.1487,20101,28567,447.23,447.98
5/05/2016,446.71,448.51,445.88,447.98,447.27,112774.834,457956,1.79E+11,3.73,44.32,1.1405,25386,27508,448.33,459.6
6/05/2016,447.94,461.38,447.07,459.6,454,160345.3744,454721,1.79E+11,3.77,44.32,1.1404,17048,24738,451.43,458.54
7/05/2016,459.64,460.67,457.32,458.54,459.04,83575.5054,419100,1.79E+11,3.9,46.6,1.1404,11166,21334,455.37,458.55
8/05/2016,458.43,459.42,455.98,458.55,458.1,88004.80244,440127,1.79E+11,3.93,41.8,1.1383,11207,20478,458.9,460.48
9/05/2016,458.21,462.48,456.53,460.48,459.42,120789.4737,485976,1.79E+11,4,45.17,1.1383,13087,23092,459.19,450.89
10/05/2016,460.52,461.93,448.95,450.89,455.57,129411.726,495896,1.79E+11,3.95,49.83,1.1372,12193,23402,456.64,452.73
11/05/2016,450.86,454.58,450.86,452.73,452.26,111894.0432,471725,1.94E+11,3.86,49.83,1.1426,10845,21597,454.7,454.77
12/05/2016,452.45,454.95,449.25,454.77,452.86,132158.5037,453620,1.94E+11,3.86,51.79,1.1377,11455,22343,452.8,455.67
13/05/2016,454.85,457.05,453.45,455.67,455.26,133648.9039,459124,1.94E+11,3.9,46.21,1.1309,9489,23638,454.39,455.67
14/05/2016,455.82,456.84,454.79,455.67,455.78,81638.071,459068,1.94E+11,3.98,46.21,1.1309,12031,19355,455.37,457.57
15/05/2016,455.76,458.69,455.46,457.57,456.87,62411.62694,424165,1.94E+11,4.04,46.8,1.1321,11799,19527,456.3,454.16
16/05/2016,457.59,458.2,452.95,454.16,455.72,129841.7888,511728,1.94E+11,4.05,47.72,1.1321,11516,21419,455.8,453.78
17/05/2016,454.01,455.07,453.61,453.78,454.12,141152.779,479751,1.94E+11,4,48.31,1.1313,8974,21242,455.17,454.62
18/05/2016,453.69,456,453.3,454.62,454.4,191131.3732,511106,1.94E+11,4,48.19,1.1216,9947,21130,454.19,438.71
19/05/2016,454.52,454.63,438.71,438.71,446.64,214999.5522,460727,1.94E+11,3.92,48.16,1.1203,12168,21055,449.04,442.68
20/05/2016,437.79,444.05,437.39,442.68,440.48,186133.0912,444375,1.94E+11,3.86,47.75,1.1224,8393,21015,445.34,443.19
21/05/2016,442.97,443.78,441.71,443.19,442.91,96548.50873,503204,1.94E+11,3.92,47.75,1.1224,6660,18208,441.53,439.32
22/05/2016,443.22,443.43,439.04,439.32,441.25,89875.58074,445657,1.94E+11,3.94,48.14,1.122,7085,20846,441.73,444.15
