Date,Open,High,Low,Close,Volume,Market Cap, 3d MA,9d MA,15d MA
2016/7/6,670.42,681.9,670.42,677.33,134960992,10661460872,677.2066667,661.47,657.712
2016/7/7,678.09,682.43,611.83,640.56,258091008,10084880016,662.84,652.68,660.6746667
2016/7/8,640.69,666.71,636.47,666.52,141970000,10496037616,661.47,655.6133333,663.5106667
2016/7/9,666.38,666.38,633.4,650.96,180536000,10252979330,652.68,649.3266667,662.5546667
2016/7/10,650.6,652.29,641.26,649.36,102532000,10229001841,655.6133333,653.8566667,661.504
2016/7/11,648.48,659.63,644.98,647.66,107910000,10203318330,649.3266667,655.56,662.7233333
2016/7/12,648.28,675.26,646.78,664.55,138172992,10470577835,653.8566667,659.0333333,663.3413333
2016/7/13,664.8,668.7,654.47,654.47,131449000,10312716681,655.56,658.6033333,663.8393333
2016/7/14,652.92,662.9,652.92,658.08,98511400,10370714378,659.0333333,660.7033333,665.052
2016/7/15,659.17,667.08,659.04,663.26,81673104,10453381650,658.6033333,667.83,664.38
2016/7/16,663.78,666.46,659.33,660.77,50330200,10415413843,660.7033333,671.1133333,663.3446667
2016/7/17,661.99,682.36,661.99,679.46,74407904,10711263460,667.83,675.1433333,661.7286667
2016/7/18,679.81,681.55,668.63,673.11,69465000,10612299585,671.1133333,670.55,662.692
2016/7/19,672.74,673.28,667.63,672.86,61203300,10609525767,675.1433333,667.85,661.972
2016/7/20,672.81,672.93,663.36,665.68,94636400,10497527596,670.55,660.4366667,661.642
2016/7/21,665.23,666.22,660.41,665.01,60491800,10487976073,667.85,657.0633333,660.8206667
2016/7/22,664.92,666.58,646.72,650.62,134169000,10261989674,660.4366667,655.82,661.4913333
2016/7/23,650.73,656.37,648.52,655.56,69532200,10340881944,657.0633333,656.98,660.7606667
2016/7/24,655.41,663.11,652.79,661.28,118184000,10432244355,655.82,655.72,661.4486667
2016/7/25,661.26,661.83,653.4,654.1,78176496,10319876749,656.98,653.41,661.7646667
2016/7/26,654.23,656.22,645.88,651.78,225135008,10284392843,655.72,653.72,662.0393333
2016/7/27,651.63,657.46,648.45,654.35,147460992,10325917979,653.41,655.4566667,661.3593333
2016/7/28,654.49,657.59,654.49,655.03,86428400,10337749269,653.72,655.69,661.3966667
2016/7/29,655.11,657.8,654.79,656.99,60703500,10369809306,655.4566667,645.5733333,661.324
2016/7/30,657.01,658.22,654.21,655.05,38456100,10340045284,655.69,628.6666667,660.7766667
2016/7/31,655.1,655.28,624.36,624.68,110818000,9861866433,645.5733333,592.8066667,658.3706667
2016/8/1,624.6,626.12,605.88,606.27,121887000,9572348580,628.6666667,573.3633333,653.4913333
2016/8/2,606.4,612.85,531.33,547.47,330932992,8644864335,592.8066667,564.0366667,645.1153333
2016/8/3,548.66,573.36,541.55,566.35,207982000,8944279139,573.3633333,573.2266667,638.0146667
2016/8/4,566.33,579.5,565.78,578.29,125292000,9133817995,564.0366667,580.37,632.1886667
2016/8/5,578.28,578.28,569.98,575.04,66127900,9083715053,573.2266667,585.17,626.1906667
2016/8/6,575.03,588.4,569.47,587.78,80797296,9286055404,580.37,590.5066667,622.0013333
2016/8/7,587.77,597.51,586.82,592.69,82398400,9364710627,585.17,590.5133333,617.81
2016/8/8,592.74,592.99,588.05,591.05,61194100,9339910963,590.5066667,590.3166667,613.128
