Date,generatedCoin
22-Sep-16,1763
23-Sep-16,1700
24-Sep-16,2075
25-Sep-16,2313
26-Sep-16,1913
27-Sep-16,2088
28-Sep-16,1850
29-Sep-16,1788
30-Sep-16,1775
01-Oct-16,1963
02-Oct-16,1763
03-Oct-16,1888
04-Oct-16,1975
05-Oct-16,2088
06-Oct-16,2013
07-Oct-16,1788
08-Oct-16,2113
09-Oct-16,2000
10-Oct-16,1550
11-Oct-16,1738
12-Oct-16,1800
13-Oct-16,1600
14-Oct-16,1700
15-Oct-16,1775
16-Oct-16,1625
17-Oct-16,1563
18-Oct-16,1938
19-Oct-16,1563
20-Oct-16,1675
21-Oct-16,2050
22-Oct-16,1863
23-Oct-16,1800
24-Oct-16,1788
25-Oct-16,1738
26-Oct-16,1725
27-Oct-16,2025
28-Oct-16,1900
29-Oct-16,1863
30-Oct-16,2100
31-Oct-16,1838
01-Nov-16,1800
02-Nov-16,1663
03-Nov-16,1938
04-Nov-16,1450
05-Nov-16,1838
06-Nov-16,1913
07-Nov-16,1825
08-Nov-16,2113
09-Nov-16,1838
10-Nov-16,2100
11-Nov-16,2038
12-Nov-16,2100
13-Nov-16,1775
14-Nov-16,2150
15-Nov-16,1950
16-Nov-16,2138
17-Nov-16,1988
18-Nov-16,1850
19-Nov-16,1775
20-Nov-16,1600
21-Nov-16,1738
22-Nov-16,1675
23-Nov-16,1838
24-Nov-16,2025
25-Nov-16,1900
26-Nov-16,1913
27-Nov-16,1800
28-Nov-16,2050
29-Nov-16,1863
30-Nov-16,1775
01-Dec-16,1825
02-Dec-16,1788
03-Dec-16,2150
04-Dec-16,1850
05-Dec-16,1900
06-Dec-16,1875
07-Dec-16,2175
08-Dec-16,1963
09-Dec-16,1688
10-Dec-16,1650
11-Dec-16,2338
12-Dec-16,1950
13-Dec-16,2225
14-Dec-16,1738
15-Dec-16,1588
16-Dec-16,1663
17-Dec-16,1800
18-Dec-16,1763
19-Dec-16,1888
20-Dec-16,1725
21-Dec-16,1988
22-Dec-16,1988
23-Dec-16,1900
24-Dec-16,1713
25-Dec-16,2063
26-Dec-16,1775
27-Dec-16,1950
28-Dec-16,2050
29-Dec-16,1875
30-Dec-16,1963
31-Dec-16,1850
01-Jan-17,1950
02-Jan-17,1988
03-Jan-17,2050
04-Jan-17,1913
05-Jan-17,1750
06-Jan-17,2013
07-Jan-17,1725
08-Jan-17,2088
09-Jan-17,1700
10-Jan-17,2000
11-Jan-17,1913
12-Jan-17,2150
13-Jan-17,1875
14-Jan-17,2150
15-Jan-17,2088
16-Jan-17,2113
17-Jan-17,1975
18-Jan-17,1875
19-Jan-17,2175
20-Jan-17,2363
21-Jan-17,2263
22-Jan-17,2175
23-Jan-17,1725
24-Jan-17,1863
25-Jan-17,1863
26-Jan-17,1938
27-Jan-17,2125
28-Jan-17,1900
29-Jan-17,2088
30-Jan-17,1800
31-Jan-17,1813
01-Feb-17,2400
02-Feb-17,1963
03-Feb-17,1863
04-Feb-17,1800
05-Feb-17,1988
06-Feb-17,1563
07-Feb-17,1888
08-Feb-17,1825
09-Feb-17,2113
10-Feb-17,1838
11-Feb-17,1738
12-Feb-17,1750
13-Feb-17,2038
14-Feb-17,2113
15-Feb-17,1738
16-Feb-17,1888
17-Feb-17,1888
18-Feb-17,1888
19-Feb-17,1675
20-Feb-17,1850
21-Feb-17,1725
22-Feb-17,1725
23-Feb-17,1875
24-Feb-17,2038
25-Feb-17,2088
26-Feb-17,2225
27-Feb-17,1800
28-Feb-17,1913
01-Mar-17,1800
02-Mar-17,1963
03-Mar-17,1888
04-Mar-17,1650
05-Mar-17,1838
06-Mar-17,1775
07-Mar-17,1913
08-Mar-17,1775
09-Mar-17,1850
10-Mar-17,1950
11-Mar-17,1863
12-Mar-17,1938
13-Mar-17,1813
14-Mar-17,1950
15-Mar-17,1775
16-Mar-17,1913
17-Mar-17,1925
18-Mar-17,1963
19-Mar-17,2063
20-Mar-17,1700
21-Mar-17,1775
22-Mar-17,1988
23-Mar-17,1850
24-Mar-17,2200
25-Mar-17,1663
26-Mar-17,2075
27-Mar-17,1650
28-Mar-17,1938
29-Mar-17,1725
30-Mar-17,2050
31-Mar-17,1688
01-Apr-17,1650
02-Apr-17,1975
03-Apr-17,2200
04-Apr-17,1563
05-Apr-17,2025
06-Apr-17,1838
07-Apr-17,2025
08-Apr-17,1713
09-Apr-17,1988
10-Apr-17,1838
11-Apr-17,2088
12-Apr-17,1775
13-Apr-17,1588
14-Apr-17,1738
15-Apr-17,1875
16-Apr-17,1825
17-Apr-17,1725
18-Apr-17,1825
19-Apr-17,1788
20-Apr-17,1725
21-Apr-17,2088
22-Apr-17,1813
23-Apr-17,1913
24-Apr-17,1550
25-Apr-17,1850
26-Apr-17,1913
27-Apr-17,1838
28-Apr-17,1700
29-Apr-17,2163
30-Apr-17,1888
01-May-17,1875
02-May-17,1975
03-May-17,1650
04-May-17,2100
05-May-17,1613
06-May-17,2100
07-May-17,2088
08-May-17,2250
09-May-17,1938
10-May-17,1850
11-May-17,1688
12-May-17,1925
13-May-17,1975
14-May-17,2050
15-May-17,2125
16-May-17,1650
17-May-17,1938
18-May-17,1775
19-May-17,2050
20-May-17,2063
21-May-17,1838
22-May-17,1825
23-May-17,2100
24-May-17,1925
25-May-17,2038
26-May-17,1913
27-May-17,2100
28-May-17,2063
29-May-17,1888
30-May-17,2238
31-May-17,2050
01-Jun-17,2125
02-Jun-17,1825
03-Jun-17,2400
04-Jun-17,2013
05-Jun-17,2050
06-Jun-17,1888
07-Jun-17,2063
08-Jun-17,2063
09-Jun-17,1888
10-Jun-17,1763
11-Jun-17,1825
12-Jun-17,1838
13-Jun-17,1763
14-Jun-17,1750
15-Jun-17,1913
16-Jun-17,1850
17-Jun-17,1813
18-Jun-17,1813
19-Jun-17,1888
20-Jun-17,1725
21-Jun-17,1750
22-Jun-17,1738
23-Jun-17,2000
24-Jun-17,1825
25-Jun-17,1525
26-Jun-17,1775
27-Jun-17,1638
28-Jun-17,1963
29-Jun-17,1500
30-Jun-17,1925
01-Jul-17,2050
02-Jul-17,2350
03-Jul-17,2125
04-Jul-17,1913
05-Jul-17,1863
06-Jul-17,1775
07-Jul-17,1850
08-Jul-17,2063
09-Jul-17,1725
10-Jul-17,2463
11-Jul-17,2163
12-Jul-17,2213
13-Jul-17,1963
