Date,Address
28-Oct-17,555051
29-Oct-17,911592
30-Oct-17,889430
31-Oct-17,829238
01-Nov-17,960573
02-Nov-17,916841
03-Nov-17,818583
04-Nov-17,800319
05-Nov-17,803250
06-Nov-17,825192
07-Nov-17,939818
08-Nov-17,860914
09-Nov-17,945888
10-Nov-17,795418
11-Nov-17,578308
12-Nov-17,598625
13-Nov-17,917287
14-Nov-17,817534
15-Nov-17,951196
16-Nov-17,903497
17-Nov-17,980129
18-Nov-17,849503
19-Nov-17,908966
20-Nov-17,989857
21-Nov-17,979924
22-Nov-17,870876
23-Nov-17,956721
24-Nov-17,907143
25-Nov-17,931680
26-Nov-17,936230
27-Nov-17,1057287
28-Nov-17,1025731
29-Nov-17,1131747
30-Nov-17,1084885
01-Dec-17,1116245
02-Dec-17,942700
03-Dec-17,1016509
04-Dec-17,1145180
05-Dec-17,1145916
06-Dec-17,1230813
07-Dec-17,1068971
08-Dec-17,1125005
09-Dec-17,1187736
10-Dec-17,1077265
11-Dec-17,1153418
12-Dec-17,1096932
13-Dec-17,1261348
14-Dec-17,1283929
15-Dec-17,1179829
16-Dec-17,1136363
17-Dec-17,1176110
18-Dec-17,1197857
19-Dec-17,1048091
20-Dec-17,1025885
21-Dec-17,1002360
22-Dec-17,1112381
23-Dec-17,980574
24-Dec-17,1023773
25-Dec-17,879901
26-Dec-17,912401
27-Dec-17,1032417
28-Dec-17,1003665
29-Dec-17,1094029
30-Dec-17,1009195
31-Dec-17,1007352
01-Jan-18,966713
02-Jan-18,1142472
03-Jan-18,1132612
04-Jan-18,1253400
05-Jan-18,1068678
06-Jan-18,1171166
07-Jan-18,1127779
08-Jan-18,1158259
09-Jan-18,1150333
10-Jan-18,1125371
11-Jan-18,1223977
12-Jan-18,1152568
13-Jan-18,943080
14-Jan-18,967584
15-Jan-18,953007
16-Jan-18,999065
17-Jan-18,1090522
18-Jan-18,1053533
19-Jan-18,1027758
20-Jan-18,973534
21-Jan-18,985152
22-Jan-18,944996
23-Jan-18,900248
24-Jan-18,944583
25-Jan-18,841506
26-Jan-18,807963
27-Jan-18,870592
28-Jan-18,768043
29-Jan-18,778150
30-Jan-18,838824
31-Jan-18,676289
01-Feb-18,842407
02-Feb-18,854261
03-Feb-18,714666
04-Feb-18,720912
05-Feb-18,903367
06-Feb-18,999121
07-Feb-18,814508
08-Feb-18,746349
09-Feb-18,775358
10-Feb-18,741906
11-Feb-18,818420
12-Feb-18,914744
13-Feb-18,852830
14-Feb-18,937586
15-Feb-18,788520
16-Feb-18,773228
17-Feb-18,770450
18-Feb-18,730175
19-Feb-18,849889
20-Feb-18,714645
21-Feb-18,705387
22-Feb-18,713590
23-Feb-18,739570
24-Feb-18,704058
25-Feb-18,528654
26-Feb-18,669623
27-Feb-18,713403
28-Feb-18,806237
01-Mar-18,819981
02-Mar-18,749023
03-Mar-18,930026
04-Mar-18,802172
05-Mar-18,850566
06-Mar-18,836894
07-Mar-18,917555
08-Mar-18,915698
09-Mar-18,881628
10-Mar-18,810973
11-Mar-18,884564
12-Mar-18,844775
13-Mar-18,764106
14-Mar-18,574892
15-Mar-18,617139
16-Mar-18,593940
17-Mar-18,460743
18-Mar-18,534906
19-Mar-18,582460
20-Mar-18,568469
21-Mar-18,573438
22-Mar-18,595119
23-Mar-18,624356
24-Mar-18,538133
25-Mar-18,442843
26-Mar-18,584461
27-Mar-18,602500
28-Mar-18,543737
29-Mar-18,565348
30-Mar-18,570440
31-Mar-18,479750
01-Apr-18,423281
02-Apr-18,494672
03-Apr-18,594098
04-Apr-18,568015
05-Apr-18,536162
06-Apr-18,640379
07-Apr-18,499530
08-Apr-18,404622
09-Apr-18,543836
10-Apr-18,565732
11-Apr-18,539442
12-Apr-18,617410
13-Apr-18,646935
14-Apr-18,493659
15-Apr-18,587020
16-Apr-18,738315
17-Apr-18,608590
18-Apr-18,589421
19-Apr-18,644595
20-Apr-18,653018
21-Apr-18,620016
22-Apr-18,509559
23-Apr-18,642656
24-Apr-18,774318
25-Apr-18,688680
26-Apr-18,660414
27-Apr-18,675804
28-Apr-18,562250
29-Apr-18,541897
30-Apr-18,642134
01-May-18,632650
02-May-18,683386
03-May-18,663171
04-May-18,695603
05-May-18,625693
06-May-18,533415
07-May-18,660191
08-May-18,665088
09-May-18,612055
10-May-18,617388
11-May-18,758816
12-May-18,588539
13-May-18,483628
14-May-18,636148
15-May-18,640177
16-May-18,604422
17-May-18,629548
18-May-18,703271
19-May-18,514455
20-May-18,475738
21-May-18,622918
22-May-18,588253
23-May-18,640762
24-May-18,569804
25-May-18,618176
26-May-18,467761
27-May-18,442647
28-May-18,589218
29-May-18,604757
30-May-18,592865
31-May-18,627768
